Benchmark botów (B0) — deterministyczny, ADR 0005
boty: aggro, heuristic, random | talie: 12 | seedy: 4 (baza 2026) | limit komend: 8000

== aggro vs heuristic ==
  aggro 38.1% (238/624) | heuristic 61.9% (386/624)
    tokens | tokens                               aggro 25.0% (2/8) | heuristic 75.0% (6/8)
    tokens | wiedzmin                             aggro 25.0% (2/8) | heuristic 75.0% (6/8)
    wiedzmin | wiedzmin                           aggro 37.5% (3/8) | heuristic 62.5% (5/8)

== heuristic vs random ==
  heuristic 88.9% (555/624) | random 11.1% (69/624)
  niedokończone: 0 | śr. 20.38 tury | śr. 501.9 komend
    azorius | azorius                             heuristic 100.0% (8/8) | random 0.0% (0/8)
    azorius | black                               heuristic 100.0% (8/8) | random 0.0% (0/8)
    azorius | graveyard                           heuristic 75.0% (6/8) | random 25.0% (2/8)
    azorius | green                               heuristic 87.5% (7/8) | random 12.5% (1/8)
    azorius | innistrad                           heuristic 100.0% (8/8) | random 0.0% (0/8)
    azorius | mechanicy                           heuristic 100.0% (8/8) | random 0.0% (0/8)
    azorius | ostrza                              heuristic 75.0% (6/8) | random 25.0% (2/8)
    azorius | red                                 heuristic 100.0% (8/8) | random 0.0% (0/8)
    azorius | sojusznicy                          heuristic 75.0% (6/8) | random 25.0% (2/8)
    azorius | spellslinger                        heuristic 100.0% (8/8) | random 0.0% (0/8)
    azorius | tokens                              heuristic 75.0% (6/8) | random 25.0% (2/8)
    azorius | wiedzmin                            heuristic 87.5% (7/8) | random 12.5% (1/8)
    black | black                                 heuristic 100.0% (8/8) | random 0.0% (0/8)
    black | graveyard                             heuristic 100.0% (8/8) | random 0.0% (0/8)
    black | green                                 heuristic 100.0% (8/8) | random 0.0% (0/8)
    black | innistrad                             heuristic 100.0% (8/8) | random 0.0% (0/8)
    black | mechanicy                             heuristic 100.0% (8/8) | random 0.0% (0/8)
    black | ostrza                                heuristic 87.5% (7/8) | random 12.5% (1/8)
    black | red                                   heuristic 100.0% (8/8) | random 0.0% (0/8)
    black | sojusznicy                            heuristic 100.0% (8/8) | random 0.0% (0/8)
    black | spellslinger                          heuristic 100.0% (8/8) | random 0.0% (0/8)
    black | tokens                                heuristic 87.5% (7/8) | random 12.5% (1/8)
    black | wiedzmin                              heuristic 100.0% (8/8) | random 0.0% (0/8)
    graveyard | graveyard                         heuristic 100.0% (8/8) | random 0.0% (0/8)
    graveyard | green                             heuristic 100.0% (8/8) | random 0.0% (0/8)
    graveyard | innistrad                         heuristic 100.0% (8/8) | random 0.0% (0/8)
    graveyard | mechanicy                         heuristic 87.5% (7/8) | random 12.5% (1/8)
    graveyard | ostrza                            heuristic 87.5% (7/8) | random 12.5% (1/8)
    graveyard | red                               heuristic 100.0% (8/8) | random 0.0% (0/8)
    graveyard | sojusznicy                        heuristic 100.0% (8/8) | random 0.0% (0/8)
    graveyard | spellslinger                      heuristic 100.0% (8/8) | random 0.0% (0/8)
    graveyard | tokens                            heuristic 75.0% (6/8) | random 25.0% (2/8)
    graveyard | wiedzmin                          heuristic 100.0% (8/8) | random 0.0% (0/8)
    green | green                                 heuristic 87.5% (7/8) | random 12.5% (1/8)
    green | innistrad                             heuristic 87.5% (7/8) | random 12.5% (1/8)
    green | mechanicy                             heuristic 100.0% (8/8) | random 0.0% (0/8)
    green | ostrza                                heuristic 87.5% (7/8) | random 12.5% (1/8)
    green | red                                   heuristic 100.0% (8/8) | random 0.0% (0/8)
    green | sojusznicy                            heuristic 100.0% (8/8) | random 0.0% (0/8)
    green | spellslinger                          heuristic 100.0% (8/8) | random 0.0% (0/8)
    green | tokens                                heuristic 75.0% (6/8) | random 25.0% (2/8)
    green | wiedzmin                              heuristic 75.0% (6/8) | random 25.0% (2/8)
    innistrad | innistrad                         heuristic 87.5% (7/8) | random 12.5% (1/8)
    innistrad | mechanicy                         heuristic 100.0% (8/8) | random 0.0% (0/8)
    innistrad | ostrza                            heuristic 75.0% (6/8) | random 25.0% (2/8)
    innistrad | red                               heuristic 100.0% (8/8) | random 0.0% (0/8)
    innistrad | sojusznicy                        heuristic 100.0% (8/8) | random 0.0% (0/8)
    innistrad | spellslinger                      heuristic 100.0% (8/8) | random 0.0% (0/8)
    innistrad | tokens                            heuristic 75.0% (6/8) | random 25.0% (2/8)
    innistrad | wiedzmin                          heuristic 87.5% (7/8) | random 12.5% (1/8)
    mechanicy | mechanicy                         heuristic 87.5% (7/8) | random 12.5% (1/8)
    mechanicy | ostrza                            heuristic 87.5% (7/8) | random 12.5% (1/8)
    mechanicy | red                               heuristic 87.5% (7/8) | random 12.5% (1/8)
    mechanicy | sojusznicy                        heuristic 37.5% (3/8) | random 62.5% (5/8)
    mechanicy | spellslinger                      heuristic 75.0% (6/8) | random 25.0% (2/8)
    mechanicy | tokens                            heuristic 37.5% (3/8) | random 62.5% (5/8)
    mechanicy | wiedzmin                          heuristic 37.5% (3/8) | random 62.5% (5/8)
    ostrza | ostrza                               heuristic 100.0% (8/8) | random 0.0% (0/8)
    ostrza | red                                  heuristic 100.0% (8/8) | random 0.0% (0/8)
    ostrza | sojusznicy                           heuristic 100.0% (8/8) | random 0.0% (0/8)
    ostrza | spellslinger                         heuristic 100.0% (8/8) | random 0.0% (0/8)
    ostrza | tokens                               heuristic 87.5% (7/8) | random 12.5% (1/8)
    ostrza | wiedzmin                             heuristic 87.5% (7/8) | random 12.5% (1/8)
    red | red                                     heuristic 100.0% (8/8) | random 0.0% (0/8)
    red | sojusznicy                              heuristic 75.0% (6/8) | random 25.0% (2/8)
    red | spellslinger                            heuristic 100.0% (8/8) | random 0.0% (0/8)
    red | tokens                                  heuristic 62.5% (5/8) | random 37.5% (3/8)
    red | wiedzmin                                heuristic 75.0% (6/8) | random 25.0% (2/8)
    sojusznicy | sojusznicy                       heuristic 100.0% (8/8) | random 0.0% (0/8)
    sojusznicy | spellslinger                     heuristic 100.0% (8/8) | random 0.0% (0/8)
    sojusznicy | tokens                           heuristic 87.5% (7/8) | random 12.5% (1/8)
    sojusznicy | wiedzmin                         heuristic 62.5% (5/8) | random 37.5% (3/8)
    spellslinger | spellslinger                   heuristic 100.0% (8/8) | random 0.0% (0/8)
    spellslinger | tokens                         heuristic 75.0% (6/8) | random 25.0% (2/8)
    spellslinger | wiedzmin                       heuristic 62.5% (5/8) | random 37.5% (3/8)
    tokens | tokens                               heuristic 87.5% (7/8) | random 12.5% (1/8)
    tokens | wiedzmin                             heuristic 87.5% (7/8) | random 12.5% (1/8)
    wiedzmin | wiedzmin                           heuristic 100.0% (8/8) | random 0.0% (0/8)

Macierz win-rate (wiersz wygrywa z kolumną):
                aggro heuristic    random
  aggro             —     38.1%         —
  heuristic     61.9%         —     88.9%
  random            —     11.1%         —

Razem (wszystkie pary):
  aggro     38.1% zwycięstw (238/624)
  heuristic 75.4% zwycięstw (941/1248)
  random    11.1% zwycięstw (69/624)

Rozegrano 1248 meczów w 148.0 s (~118.6 ms/mecz).
