Benchmark botów (B0) — deterministyczny, ADR 0005
boty: aggro, heuristic, random | talie: 12 | seedy: 50 (baza 1000) | limit komend: 8000

== aggro vs heuristic ==
  aggro 34.6% (2702/7800) | heuristic 65.4% (5098/7800)
  niedokończone: 0 | śr. 18.5 tury | śr. 468 komend
    azorius | azorius                             aggro 42.0% (42/100) | heuristic 58.0% (58/100)
    azorius | black                               aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    azorius | graveyard                           aggro 16.0% (16/100) | heuristic 84.0% (84/100)
    azorius | green                               aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    azorius | innistrad                           aggro 39.0% (39/100) | heuristic 61.0% (61/100)
    azorius | mechanicy                           aggro 38.0% (38/100) | heuristic 62.0% (62/100)
    azorius | ostrza                              aggro 20.0% (20/100) | heuristic 80.0% (80/100)
    azorius | red                                 aggro 35.0% (35/100) | heuristic 65.0% (65/100)
    azorius | sojusznicy                          aggro 12.0% (12/100) | heuristic 88.0% (88/100)
    azorius | spellslinger                        aggro 47.0% (47/100) | heuristic 53.0% (53/100)
    azorius | tokens                              aggro 19.0% (19/100) | heuristic 81.0% (81/100)
    azorius | wiedzmin                            aggro 9.0% (9/100) | heuristic 91.0% (91/100)
    black | black                                 aggro 36.0% (36/100) | heuristic 64.0% (64/100)
    black | graveyard                             aggro 39.0% (39/100) | heuristic 61.0% (61/100)
    black | green                                 aggro 35.0% (35/100) | heuristic 65.0% (65/100)
    black | innistrad                             aggro 65.0% (65/100) | heuristic 35.0% (35/100)
    black | mechanicy                             aggro 68.0% (68/100) | heuristic 32.0% (32/100)
    black | ostrza                                aggro 43.0% (43/100) | heuristic 57.0% (57/100)
    black | red                                   aggro 56.0% (56/100) | heuristic 44.0% (44/100)
    black | sojusznicy                            aggro 42.0% (42/100) | heuristic 58.0% (58/100)
    black | spellslinger                          aggro 70.0% (70/100) | heuristic 30.0% (30/100)
    black | tokens                                aggro 32.0% (32/100) | heuristic 68.0% (68/100)
    black | wiedzmin                              aggro 30.0% (30/100) | heuristic 70.0% (70/100)
    graveyard | graveyard                         aggro 30.0% (30/100) | heuristic 70.0% (70/100)
    graveyard | green                             aggro 32.0% (32/100) | heuristic 68.0% (68/100)
    graveyard | innistrad                         aggro 55.0% (55/100) | heuristic 45.0% (45/100)
    graveyard | mechanicy                         aggro 53.0% (53/100) | heuristic 47.0% (47/100)
    graveyard | ostrza                            aggro 36.0% (36/100) | heuristic 64.0% (64/100)
    graveyard | red                               aggro 52.0% (52/100) | heuristic 48.0% (48/100)
    graveyard | sojusznicy                        aggro 24.0% (24/100) | heuristic 76.0% (76/100)
    graveyard | spellslinger                      aggro 52.0% (52/100) | heuristic 48.0% (48/100)
    graveyard | tokens                            aggro 23.0% (23/100) | heuristic 77.0% (77/100)
    graveyard | wiedzmin                          aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    green | green                                 aggro 30.0% (30/100) | heuristic 70.0% (70/100)
    green | innistrad                             aggro 58.0% (58/100) | heuristic 42.0% (42/100)
    green | mechanicy                             aggro 65.0% (65/100) | heuristic 35.0% (35/100)
    green | ostrza                                aggro 34.0% (34/100) | heuristic 66.0% (66/100)
    green | red                                   aggro 55.0% (55/100) | heuristic 45.0% (45/100)
    green | sojusznicy                            aggro 28.0% (28/100) | heuristic 72.0% (72/100)
    green | spellslinger                          aggro 66.0% (66/100) | heuristic 34.0% (34/100)
    green | tokens                                aggro 26.0% (26/100) | heuristic 74.0% (74/100)
    green | wiedzmin                              aggro 16.0% (16/100) | heuristic 84.0% (84/100)
    innistrad | innistrad                         aggro 45.0% (45/100) | heuristic 55.0% (55/100)
    innistrad | mechanicy                         aggro 50.0% (50/100) | heuristic 50.0% (50/100)
    innistrad | ostrza                            aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    innistrad | red                               aggro 42.0% (42/100) | heuristic 58.0% (58/100)
    innistrad | sojusznicy                        aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    innistrad | spellslinger                      aggro 47.0% (47/100) | heuristic 53.0% (53/100)
    innistrad | tokens                            aggro 17.0% (17/100) | heuristic 83.0% (83/100)
    innistrad | wiedzmin                          aggro 8.0% (8/100) | heuristic 92.0% (92/100)
    mechanicy | mechanicy                         aggro 39.0% (39/100) | heuristic 61.0% (61/100)
    mechanicy | ostrza                            aggro 21.0% (21/100) | heuristic 79.0% (79/100)
    mechanicy | red                               aggro 44.0% (44/100) | heuristic 56.0% (56/100)
    mechanicy | sojusznicy                        aggro 15.0% (15/100) | heuristic 85.0% (85/100)
    mechanicy | spellslinger                      aggro 39.0% (39/100) | heuristic 61.0% (61/100)
    mechanicy | tokens                            aggro 16.0% (16/100) | heuristic 84.0% (84/100)
    mechanicy | wiedzmin                          aggro 4.0% (4/100) | heuristic 96.0% (96/100)
    ostrza | ostrza                               aggro 53.0% (53/100) | heuristic 47.0% (47/100)
    ostrza | red                                  aggro 71.0% (71/100) | heuristic 29.0% (29/100)
    ostrza | sojusznicy                           aggro 52.0% (52/100) | heuristic 48.0% (48/100)
    ostrza | spellslinger                         aggro 82.0% (82/100) | heuristic 18.0% (18/100)
    ostrza | tokens                               aggro 45.0% (45/100) | heuristic 55.0% (55/100)
    ostrza | wiedzmin                             aggro 31.0% (31/100) | heuristic 69.0% (69/100)
    red | red                                     aggro 49.0% (49/100) | heuristic 51.0% (51/100)
    red | sojusznicy                              aggro 17.0% (17/100) | heuristic 83.0% (83/100)
    red | spellslinger                            aggro 48.0% (48/100) | heuristic 52.0% (52/100)
    red | tokens                                  aggro 25.0% (25/100) | heuristic 75.0% (75/100)
    red | wiedzmin                                aggro 17.0% (17/100) | heuristic 83.0% (83/100)
    sojusznicy | sojusznicy                       aggro 11.0% (11/100) | heuristic 89.0% (89/100)
    sojusznicy | spellslinger                     aggro 67.0% (67/100) | heuristic 33.0% (33/100)
    sojusznicy | tokens                           aggro 24.0% (24/100) | heuristic 76.0% (76/100)
    sojusznicy | wiedzmin                         aggro 16.0% (16/100) | heuristic 84.0% (84/100)
    spellslinger | spellslinger                   aggro 31.0% (31/100) | heuristic 69.0% (69/100)
    spellslinger | tokens                         aggro 10.0% (10/100) | heuristic 90.0% (90/100)
    spellslinger | wiedzmin                       aggro 2.0% (2/100) | heuristic 98.0% (98/100)
    tokens | tokens                               aggro 12.0% (12/100) | heuristic 88.0% (88/100)
    tokens | wiedzmin                             aggro 5.0% (5/100) | heuristic 95.0% (95/100)
    wiedzmin | wiedzmin                           aggro 29.0% (29/100) | heuristic 71.0% (71/100)

== aggro vs random ==
  aggro 84.1% (6559/7800) | random 15.9% (1241/7800)
  niedokończone: 0 | śr. 20.81 tury | śr. 539.9 komend
    azorius | azorius                             aggro 87.0% (87/100) | random 13.0% (13/100)
    azorius | black                               aggro 78.0% (78/100) | random 22.0% (22/100)
    azorius | graveyard                           aggro 72.0% (72/100) | random 28.0% (28/100)
    azorius | green                               aggro 69.0% (69/100) | random 31.0% (31/100)
    azorius | innistrad                           aggro 90.0% (90/100) | random 10.0% (10/100)
    azorius | mechanicy                           aggro 98.0% (98/100) | random 2.0% (2/100)
    azorius | ostrza                              aggro 74.0% (74/100) | random 26.0% (26/100)
    azorius | red                                 aggro 94.0% (94/100) | random 6.0% (6/100)
    azorius | sojusznicy                          aggro 76.0% (76/100) | random 24.0% (24/100)
    azorius | spellslinger                        aggro 95.0% (95/100) | random 5.0% (5/100)
    azorius | tokens                              aggro 58.0% (58/100) | random 42.0% (42/100)
    azorius | wiedzmin                            aggro 60.0% (60/100) | random 40.0% (40/100)
    black | black                                 aggro 88.0% (88/100) | random 12.0% (12/100)
    black | graveyard                             aggro 90.0% (90/100) | random 10.0% (10/100)
    black | green                                 aggro 85.0% (85/100) | random 15.0% (15/100)
    black | innistrad                             aggro 94.0% (94/100) | random 6.0% (6/100)
    black | mechanicy                             aggro 98.0% (98/100) | random 2.0% (2/100)
    black | ostrza                                aggro 95.0% (95/100) | random 5.0% (5/100)
    black | red                                   aggro 96.0% (96/100) | random 4.0% (4/100)
    black | sojusznicy                            aggro 92.0% (92/100) | random 8.0% (8/100)
    black | spellslinger                          aggro 99.0% (99/100) | random 1.0% (1/100)
    black | tokens                                aggro 84.0% (84/100) | random 16.0% (16/100)
    black | wiedzmin                              aggro 89.0% (89/100) | random 11.0% (11/100)
    graveyard | graveyard                         aggro 91.0% (91/100) | random 9.0% (9/100)
    graveyard | green                             aggro 88.0% (88/100) | random 12.0% (12/100)
    graveyard | innistrad                         aggro 94.0% (94/100) | random 6.0% (6/100)
    graveyard | mechanicy                         aggro 97.0% (97/100) | random 3.0% (3/100)
    graveyard | ostrza                            aggro 93.0% (93/100) | random 7.0% (7/100)
    graveyard | red                               aggro 97.0% (97/100) | random 3.0% (3/100)
    graveyard | sojusznicy                        aggro 85.0% (85/100) | random 15.0% (15/100)
    graveyard | spellslinger                      aggro 96.0% (96/100) | random 4.0% (4/100)
    graveyard | tokens                            aggro 78.0% (78/100) | random 22.0% (22/100)
    graveyard | wiedzmin                          aggro 83.0% (83/100) | random 17.0% (17/100)
    green | green                                 aggro 82.0% (82/100) | random 18.0% (18/100)
    green | innistrad                             aggro 92.0% (92/100) | random 8.0% (8/100)
    green | mechanicy                             aggro 94.0% (94/100) | random 6.0% (6/100)
    green | ostrza                                aggro 90.0% (90/100) | random 10.0% (10/100)
    green | red                                   aggro 98.0% (98/100) | random 2.0% (2/100)
    green | sojusznicy                            aggro 85.0% (85/100) | random 15.0% (15/100)
    green | spellslinger                          aggro 97.0% (97/100) | random 3.0% (3/100)
    green | tokens                                aggro 76.0% (76/100) | random 24.0% (24/100)
    green | wiedzmin                              aggro 79.0% (79/100) | random 21.0% (21/100)
    innistrad | innistrad                         aggro 89.0% (89/100) | random 11.0% (11/100)
    innistrad | mechanicy                         aggro 93.0% (93/100) | random 7.0% (7/100)
    innistrad | ostrza                            aggro 83.0% (83/100) | random 17.0% (17/100)
    innistrad | red                               aggro 91.0% (91/100) | random 9.0% (9/100)
    innistrad | sojusznicy                        aggro 83.0% (83/100) | random 17.0% (17/100)
    innistrad | spellslinger                      aggro 96.0% (96/100) | random 4.0% (4/100)
    innistrad | tokens                            aggro 72.0% (72/100) | random 28.0% (28/100)
    innistrad | wiedzmin                          aggro 80.0% (80/100) | random 20.0% (20/100)
    mechanicy | mechanicy                         aggro 96.0% (96/100) | random 4.0% (4/100)
    mechanicy | ostrza                            aggro 82.0% (82/100) | random 18.0% (18/100)
    mechanicy | red                               aggro 87.0% (87/100) | random 13.0% (13/100)
    mechanicy | sojusznicy                        aggro 60.0% (60/100) | random 40.0% (40/100)
    mechanicy | spellslinger                      aggro 93.0% (93/100) | random 7.0% (7/100)
    mechanicy | tokens                            aggro 67.0% (67/100) | random 33.0% (33/100)
    mechanicy | wiedzmin                          aggro 59.0% (59/100) | random 41.0% (41/100)
    ostrza | ostrza                               aggro 98.0% (98/100) | random 2.0% (2/100)
    ostrza | red                                  aggro 98.0% (98/100) | random 2.0% (2/100)
    ostrza | sojusznicy                           aggro 91.0% (91/100) | random 9.0% (9/100)
    ostrza | spellslinger                         aggro 100.0% (100/100) | random 0.0% (0/100)
    ostrza | tokens                               aggro 92.0% (92/100) | random 8.0% (8/100)
    ostrza | wiedzmin                             aggro 91.0% (91/100) | random 9.0% (9/100)
    red | red                                     aggro 88.0% (88/100) | random 12.0% (12/100)
    red | sojusznicy                              aggro 80.0% (80/100) | random 20.0% (20/100)
    red | spellslinger                            aggro 93.0% (93/100) | random 7.0% (7/100)
    red | tokens                                  aggro 73.0% (73/100) | random 27.0% (27/100)
    red | wiedzmin                                aggro 71.0% (71/100) | random 29.0% (29/100)
    sojusznicy | sojusznicy                       aggro 72.0% (72/100) | random 28.0% (28/100)
    sojusznicy | spellslinger                     aggro 96.0% (96/100) | random 4.0% (4/100)
    sojusznicy | tokens                           aggro 70.0% (70/100) | random 30.0% (30/100)
    sojusznicy | wiedzmin                         aggro 73.0% (73/100) | random 27.0% (27/100)
    spellslinger | spellslinger                   aggro 92.0% (92/100) | random 8.0% (8/100)
    spellslinger | tokens                         aggro 43.0% (43/100) | random 57.0% (57/100)
    spellslinger | wiedzmin                       aggro 45.0% (45/100) | random 55.0% (55/100)
    tokens | tokens                               aggro 59.0% (59/100) | random 41.0% (41/100)
    tokens | wiedzmin                             aggro 56.0% (56/100) | random 44.0% (44/100)
    wiedzmin | wiedzmin                           aggro 91.0% (91/100) | random 9.0% (9/100)

== heuristic vs random ==
  heuristic 89.9% (7009/7800) | random 10.1% (791/7800)
  niedokończone: 0 | śr. 20.65 tury | śr. 553.1 komend
    azorius | azorius                             heuristic 91.0% (91/100) | random 9.0% (9/100)
    azorius | black                               heuristic 91.0% (91/100) | random 9.0% (9/100)
    azorius | graveyard                           heuristic 87.0% (87/100) | random 13.0% (13/100)
    azorius | green                               heuristic 83.0% (83/100) | random 17.0% (17/100)
    azorius | innistrad                           heuristic 85.0% (85/100) | random 15.0% (15/100)
    azorius | mechanicy                           heuristic 97.0% (97/100) | random 3.0% (3/100)
    azorius | ostrza                              heuristic 82.0% (82/100) | random 18.0% (18/100)
    azorius | red                                 heuristic 91.0% (91/100) | random 9.0% (9/100)
    azorius | sojusznicy                          heuristic 87.0% (87/100) | random 13.0% (13/100)
    azorius | spellslinger                        heuristic 95.0% (95/100) | random 5.0% (5/100)
    azorius | tokens                              heuristic 75.0% (75/100) | random 25.0% (25/100)
    azorius | wiedzmin                            heuristic 83.0% (83/100) | random 17.0% (17/100)
    black | black                                 heuristic 95.0% (95/100) | random 5.0% (5/100)
    black | graveyard                             heuristic 96.0% (96/100) | random 4.0% (4/100)
    black | green                                 heuristic 92.0% (92/100) | random 8.0% (8/100)
    black | innistrad                             heuristic 97.0% (97/100) | random 3.0% (3/100)
    black | mechanicy                             heuristic 100.0% (100/100) | random 0.0% (0/100)
    black | ostrza                                heuristic 91.0% (91/100) | random 9.0% (9/100)
    black | red                                   heuristic 97.0% (97/100) | random 3.0% (3/100)
