Ilustracja,Nazwa Karty,Plan
150FIN,"Balamb Garden, SeeD Academy",Final Fantasy
151FUS,Stellar Intrusion,Wiedźmin
152FUS,Glamour Overload,Wiedźmin
153FIN,"Balamb Garden, Airborne",Final Fantasy
154FUS,Drowned Dominion,Wiedźmin
155FUS,Trail of Stolen Dreams,Wiedźmin
156FUS,Thistledown-Tuned Harvester,Bloomburrow
157FUS,Stilt-Tended Beacon,Bloomburrow
158FUS,Agate-Scarred Beacon,Bloomburrow
159AVR,Predator's Gambit,Innistrad
160FUS,Mist-Bound Skaab,Innistrad
161FUS,Wald's Burden,Innistrad
162FUS,The Bell Finds the Sleeper,Innistrad
163ISD,Ghoulcaller's Bell,Innistrad
164FUS,Memory-Plucked Farmhand,Innistrad
165FUS,Reflection of the Damned,Innistrad
166WOE,Talion's Messenger,Eldraine
167FUS,The Healer Steps Aside,Śródziemie
168_2XM,Steel Sabotage,Mirrodin
169M20,Greenwood Sentinel,Śródziemie
170FUS,Lanternlit Dreamcage,Innistrad
171ISD,Grizzled Outcasts,Innistrad
172APC,Mournful Zombie,Dominaria
173KTK,Awaken the Bear,Tarkir
174FUS,Thorn of Stensia's Grudge,Innistrad
175CLB,Caves of Chaos Adventurer,Forgotten Realms
176FUS,Auspex Unsealed,Forgotten Realms
177OTC,Dire Fleet Ravager,Ixalan
178FUS,Uthgardt's Market Sundering,Forgotten Realms
179APC,Index,Warhammer Fantasy
180ISD,Homicidal Brute,Innistrad
181AVR,Spectral Prison,Innistrad
182MOR,Stomping Slabs,Lorwyn
183HOU,Sifter Wurm,Amonkhet
184MH2,Altar of the Goyf,Dominaria
185P02,Alaborn Trooper,Dominaria
186AER,Cogwork Assembler,Kaladesh
187ELD,Idyllic Grange,Eldraine
188_2XM,Apprentice Wizard,Wiedźmin
189_2XM,Glint-Sleeve Artisan,Kaladesh
190ECL,Goldmeadow Nomad,Lorwyn
191ARB,Esper Stormblade,Alara
192FUS,Glade Thoughtweft Truce,Lorwyn
193MH2,Floodhound,Wiedźmin
194FUS,Ardenvale's Answer to Talion,Eldraine
195THB,Entrancing Lyre,Theros
196FUS,Sun-Rune Homestead Feast,Eldraine
197M20,Dismal Backwater,Warhammer Fantasy
198FUS,Homestead's Blue Thread,Eldraine
199MOM,Gloomfang Mauler,Mirrodin
200CLB,Cloak of the Bat,Forgotten Realms
201MOM,Tiller of Flesh,Ikoria
202LTC,Inferno Titan,Śródziemie
203FUS,Baldur's Pink Heist,Forgotten Realms
204CMR,Skilled Animator,Kaladesh
205FUS,Talion's Seal Recycled,Eldraine
206BLB,High Stride,Bloomburrow
207ONE,Feed the Infection,Mirrodin
208FUS,The Recycled Beginning,Eldraine
209ELD,Burning-Yard Trainer,Eldraine
210FUS,"The Collector, Collected",Eldraine
211LCI,Seismic Monstrosaur,Ixalan
212FUS,Moon's Split Reflection,Innistrad
213ORI,Reclusive Artificer,Kaladesh
214VOW,Snarling Wolf,Innistrad
215LCI,Malamet Battle Glyph,Ixalan
216ISD,Armored Skaab,Innistrad
217CLB,Manor Gate,Forgotten Realms
218SOM,Trigon of Corruption,Mirrodin
219FIN,Prishe's Wanderings,Final Fantasy
220_2XM,Urza's Mine,Dominaria
221M14,Mark of the Vampire,Innistrad
222M11,Maritime Guard,Wiedźmin
223M11,Angel's Feather,Śródziemie
224KHM,Immersturm Skullcairn,Kaldheim
225TDM,Furious Forebear,Tarkir
226ISD,Makeshift Mauler,Innistrad
227ROE,Jwari Shapeshifter,Zendikar
228MBS,Strandwalker,Mirrodin
229OTJ,Sterling Keykeeper,Thunder Junction
230SOM,Horizon Spellbomb,Mirrodin
231FDN,Anthem of Champions,Theros
232M11,Goblin Piker,Warhammer Fantasy
233BLB,Barkform Harvester,Bloomburrow
234CLB,Gray Slaad,Forgotten Realms
235RTR,Trestle Troll,Ravnica
236BLB,Agate Assault,Bloomburrow
237STO,Angel Blood,Innistrad
238ORI,Ramroller,Warhammer Fantasy
239STO,Skaberen,Innistrad
240TDM,Descendant of Storms,Tarkir
241STO,Glistening Oil,Mirrodin
242ALA,Knight of the Skyward Eye,Alara
243DD2,Willbender,Dominaria
244STO,Curse of the Werewolf,Innistrad
245M10,Dread Warlock,Wiedźmin
246CMR,Cuombajj Witches,Wiedźmin
247STO,The Core of Mirrodin,Mirrodin
248M19,Reassembling Skeleton,Warhammer Fantasy
249_5ED,Feedback,Warhammer Fantasy
250STO,Baldurian Patriar,Forgotten Realms
251CLB,Stirring Bard,Forgotten Realms
252CMR,Captain's Call,Śródziemie
253AFR,Inspiring Bard,Forgotten Realms
254STO,Calamity Beast,Bloomburrow
255STO,Great Book of Grudges,Warhammer Fantasy
256ISD,Frightful Delusion,Innistrad
257LTR,Lash of the Balrog,Śródziemie
258_7ED,Hill Giant,Warhammer Fantasy
259STO,The Stormnexus Ritual,Tarkir
260STO,Tolarian Academy,Dominaria
261STO,"Krell, Lord of Undeath",Warhammer Fantasy
262ALA,Angel's Herald,Alara
263STO,Drakwald Gibbering,Warhammer Fantasy
264GPT,Ghost Warden,Ravnica
265OGW,Boulder Salvo,Zendikar
266STO,Viscus Vitae,Innistrad
267LCI,Hunter's Blowgun,Ixalan
268_2XM,Might of the Masses,Zendikar
269STO,Sea Witch,Wiedźmin
270ZNR,Roiling Regrowth,Zendikar
271RNA,Expose to Daylight,Ravnica
272THS,Feral Invocation,Theros
273BFZ,Fertile Thicket,Zendikar
