Benchmark botów (B0) — deterministyczny, ADR 0005
boty: aggro, heuristic, random | talie: 12 | seedy: 8 (baza 2026) | limit komend: 8000

== aggro vs heuristic ==
  aggro 28.7% (358/1248) | heuristic 71.3% (890/1248)
  niedokończone: 0 | śr. 19.15 tury | śr. 448.2 komend
    azorius | azorius                             aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    azorius | black                               aggro 37.5% (6/16) | heuristic 62.5% (10/16)
    azorius | graveyard                           aggro 37.5% (6/16) | heuristic 62.5% (10/16)
    azorius | green                               aggro 12.5% (2/16) | heuristic 87.5% (14/16)
    azorius | innistrad                           aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    azorius | mechanicy                           aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    azorius | ostrza                              aggro 25.0% (4/16) | heuristic 75.0% (12/16)
    azorius | red                                 aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    azorius | sojusznicy                          aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    azorius | spellslinger                        aggro 62.5% (10/16) | heuristic 37.5% (6/16)
    azorius | tokens                              aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    azorius | wiedzmin                            aggro 12.5% (2/16) | heuristic 87.5% (14/16)
    black | black                                 aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    black | graveyard                             aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    black | green                                 aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    black | innistrad                             aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    black | mechanicy                             aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    black | ostrza                                aggro 25.0% (4/16) | heuristic 75.0% (12/16)
    black | red                                   aggro 37.5% (6/16) | heuristic 62.5% (10/16)
    black | sojusznicy                            aggro 37.5% (6/16) | heuristic 62.5% (10/16)
    black | spellslinger                          aggro 75.0% (12/16) | heuristic 25.0% (4/16)
    black | tokens                                aggro 6.3% (1/16) | heuristic 93.8% (15/16)
    black | wiedzmin                              aggro 0.0% (0/16) | heuristic 100.0% (16/16)
    graveyard | graveyard                         aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    graveyard | green                             aggro 12.5% (2/16) | heuristic 87.5% (14/16)
    graveyard | innistrad                         aggro 25.0% (4/16) | heuristic 75.0% (12/16)
    graveyard | mechanicy                         aggro 43.8% (7/16) | heuristic 56.3% (9/16)
    graveyard | ostrza                            aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    graveyard | red                               aggro 25.0% (4/16) | heuristic 75.0% (12/16)
    graveyard | sojusznicy                        aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    graveyard | spellslinger                      aggro 43.8% (7/16) | heuristic 56.3% (9/16)
    graveyard | tokens                            aggro 6.3% (1/16) | heuristic 93.8% (15/16)
    graveyard | wiedzmin                          aggro 0.0% (0/16) | heuristic 100.0% (16/16)
    green | green                                 aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    green | innistrad                             aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    green | mechanicy                             aggro 50.0% (8/16) | heuristic 50.0% (8/16)
    green | ostrza                                aggro 37.5% (6/16) | heuristic 62.5% (10/16)
    green | red                                   aggro 56.3% (9/16) | heuristic 43.8% (7/16)
    green | sojusznicy                            aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    green | spellslinger                          aggro 62.5% (10/16) | heuristic 37.5% (6/16)
    green | tokens                                aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    green | wiedzmin                              aggro 12.5% (2/16) | heuristic 87.5% (14/16)
    innistrad | innistrad                         aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    innistrad | mechanicy                         aggro 43.8% (7/16) | heuristic 56.3% (9/16)
    innistrad | ostrza                            aggro 37.5% (6/16) | heuristic 62.5% (10/16)
    innistrad | red                               aggro 43.8% (7/16) | heuristic 56.3% (9/16)
    innistrad | sojusznicy                        aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    innistrad | spellslinger                      aggro 62.5% (10/16) | heuristic 37.5% (6/16)
    innistrad | tokens                            aggro 6.3% (1/16) | heuristic 93.8% (15/16)
    innistrad | wiedzmin                          aggro 6.3% (1/16) | heuristic 93.8% (15/16)
    mechanicy | mechanicy                         aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    mechanicy | ostrza                            aggro 43.8% (7/16) | heuristic 56.3% (9/16)
    mechanicy | red                               aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    mechanicy | sojusznicy                        aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    mechanicy | spellslinger                      aggro 56.3% (9/16) | heuristic 43.8% (7/16)
    mechanicy | tokens                            aggro 25.0% (4/16) | heuristic 75.0% (12/16)
    mechanicy | wiedzmin                          aggro 6.3% (1/16) | heuristic 93.8% (15/16)
    ostrza | ostrza                               aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    ostrza | red                                  aggro 62.5% (10/16) | heuristic 37.5% (6/16)
    ostrza | sojusznicy                           aggro 43.8% (7/16) | heuristic 56.3% (9/16)
    ostrza | spellslinger                         aggro 75.0% (12/16) | heuristic 25.0% (4/16)
    ostrza | tokens                               aggro 25.0% (4/16) | heuristic 75.0% (12/16)
    ostrza | wiedzmin                             aggro 37.5% (6/16) | heuristic 62.5% (10/16)
    red | red                                     aggro 31.3% (5/16) | heuristic 68.8% (11/16)
    red | sojusznicy                              aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    red | spellslinger                            aggro 56.3% (9/16) | heuristic 43.8% (7/16)
    red | tokens                                  aggro 25.0% (4/16) | heuristic 75.0% (12/16)
    red | wiedzmin                                aggro 6.3% (1/16) | heuristic 93.8% (15/16)
    sojusznicy | sojusznicy                       aggro 12.5% (2/16) | heuristic 87.5% (14/16)
    sojusznicy | spellslinger                     aggro 56.3% (9/16) | heuristic 43.8% (7/16)
    sojusznicy | tokens                           aggro 18.8% (3/16) | heuristic 81.3% (13/16)
    sojusznicy | wiedzmin                         aggro 12.5% (2/16) | heuristic 87.5% (14/16)
    spellslinger | spellslinger                   aggro 31.3% (5/16) | heuristic 68.8% (11/16)
