Benchmark botów (B0) — deterministyczny, ADR 0005
boty: aggro, heuristic, random | talie: 12 | seedy: 50 (baza 1000) | limit komend: 8000

== aggro vs heuristic ==
  aggro 33.5% (2611/7800) | heuristic 66.5% (5189/7800)
    tokens | tokens                               aggro 12.0% (12/100) | heuristic 88.0% (88/100)
    tokens | wiedzmin                             aggro 4.0% (4/100) | heuristic 96.0% (96/100)
    wiedzmin | wiedzmin                           aggro 19.0% (19/100) | heuristic 81.0% (81/100)

== aggro vs random ==
  aggro 93.0% (7254/7800) | random 7.0% (546/7800)
  niedokończone: 0 | śr. 20.09 tury | śr. 519.7 komend
    azorius | azorius                             aggro 90.0% (90/100) | random 10.0% (10/100)
    azorius | black                               aggro 89.0% (89/100) | random 11.0% (11/100)
    azorius | graveyard                           aggro 87.0% (87/100) | random 13.0% (13/100)
    azorius | green                               aggro 90.0% (90/100) | random 10.0% (10/100)
    azorius | innistrad                           aggro 97.0% (97/100) | random 3.0% (3/100)
    azorius | mechanicy                           aggro 96.0% (96/100) | random 4.0% (4/100)
    azorius | ostrza                              aggro 91.0% (91/100) | random 9.0% (9/100)
    azorius | red                                 aggro 97.0% (97/100) | random 3.0% (3/100)
    azorius | sojusznicy                          aggro 85.0% (85/100) | random 15.0% (15/100)
    azorius | spellslinger                        aggro 97.0% (97/100) | random 3.0% (3/100)
    azorius | tokens                              aggro 85.0% (85/100) | random 15.0% (15/100)
    azorius | wiedzmin                            aggro 86.0% (86/100) | random 14.0% (14/100)
    black | black                                 aggro 97.0% (97/100) | random 3.0% (3/100)
    black | graveyard                             aggro 96.0% (96/100) | random 4.0% (4/100)
    black | green                                 aggro 96.0% (96/100) | random 4.0% (4/100)
    black | innistrad                             aggro 99.0% (99/100) | random 1.0% (1/100)
    black | mechanicy                             aggro 98.0% (98/100) | random 2.0% (2/100)
    black | ostrza                                aggro 97.0% (97/100) | random 3.0% (3/100)
    black | red                                   aggro 99.0% (99/100) | random 1.0% (1/100)
    black | sojusznicy                            aggro 95.0% (95/100) | random 5.0% (5/100)
    black | spellslinger                          aggro 98.0% (98/100) | random 2.0% (2/100)
    black | tokens                                aggro 96.0% (96/100) | random 4.0% (4/100)
    black | wiedzmin                              aggro 99.0% (99/100) | random 1.0% (1/100)
    graveyard | graveyard                         aggro 98.0% (98/100) | random 2.0% (2/100)
    graveyard | green                             aggro 94.0% (94/100) | random 6.0% (6/100)
    graveyard | innistrad                         aggro 99.0% (99/100) | random 1.0% (1/100)
    graveyard | mechanicy                         aggro 100.0% (100/100) | random 0.0% (0/100)
    graveyard | ostrza                            aggro 98.0% (98/100) | random 2.0% (2/100)
    graveyard | red                               aggro 99.0% (99/100) | random 1.0% (1/100)
    graveyard | sojusznicy                        aggro 92.0% (92/100) | random 8.0% (8/100)
    graveyard | spellslinger                      aggro 100.0% (100/100) | random 0.0% (0/100)
    graveyard | tokens                            aggro 96.0% (96/100) | random 4.0% (4/100)
    graveyard | wiedzmin                          aggro 99.0% (99/100) | random 1.0% (1/100)
    green | green                                 aggro 94.0% (94/100) | random 6.0% (6/100)
    green | innistrad                             aggro 99.0% (99/100) | random 1.0% (1/100)
    green | mechanicy                             aggro 98.0% (98/100) | random 2.0% (2/100)
    green | ostrza                                aggro 97.0% (97/100) | random 3.0% (3/100)
    green | red                                   aggro 96.0% (96/100) | random 4.0% (4/100)
    green | sojusznicy                            aggro 95.0% (95/100) | random 5.0% (5/100)
    green | spellslinger                          aggro 98.0% (98/100) | random 2.0% (2/100)
    green | tokens                                aggro 97.0% (97/100) | random 3.0% (3/100)
    green | wiedzmin                              aggro 97.0% (97/100) | random 3.0% (3/100)
